order,id,conditionType,conditionTarget,title,description,targetAmount,rewardCurrency,rewardAmount
181,kill_enemies_170_step181,EnemyKill,,결전지 정리,적 170마리를 처치하기,170,Credits,26000
182,draw_weapon_10_step182,DrawWeaponGacha,,최종 보급 준비,무기를 10회 뽑기,10,CoreCrystals,225
184,enhance_drone_10_step184,EnhanceDrone,,무인 전력 절정,드론을 10회 강화하기,10,CoreCrystals,280
185,reach_stage_22_step185,StageClear,,최후 전역 진군,스테이지 22에 도달하기,22,CoreCrystals,330
186,collect_credits_8000_step186,CollectCredits,,전역 보급 완성,정제소 크레딧 8000을 수급하기,8000,CoreCrystals,270
187,defeat_boss_4_step187,BossDefeat,,위협 완전 차단,보스를 4회 격퇴하기,4,CoreCrystals,390
188,collect_weapons_1_step188,WeaponCollect,,전설 장비 확충,무기를 1회 뽑기,1,Credits,25000
190,use_boss_ticket_3_step190,UseBossTicket,,최종 작전 반복,보스 진입 티켓을 3회 사용하기,3,Credits,19000
191,kill_enemies_190_step191,EnemyKill,,대전역 소탕,적 190마리를 처치하기,190,Credits,28000
192,reach_stage_23_step192,StageClear,,후반 전선 돌파,스테이지 23에 도달하기,23,CoreCrystals,245
193,enhance_weapon_15_step193,EnhanceWeapon,,종결 장비 개량,무기를 15회 강화하기,15,CoreCrystals,300
194,reach_stage_24_step194,StageClear,,천 번째 돌파,스테이지 24에 도달하기,24,CoreCrystals,350
195,reach_level_45_step195,PlayerLevel,,전설 지휘관,지휘관 레벨 45에 도달하기,45,CoreCrystals,280
196,collect_credits_8500_step196,CollectCredits,,최종 군수 확보,정제소 크레딧 8500을 수급하기,8500,CoreCrystals,290
197,defeat_boss_4_step197,BossDefeat,,최종 위협 격퇴,보스를 4회 격퇴하기,4,CoreCrystals,420
198,kill_enemies_200_step198,EnemyKill,,최종 소탕 작전,적 200마리를 처치하기,200,Credits,32000
199,collect_credits_9000_step199,CollectCredits,,전역 경제 장악,정제소 크레딧 9000을 수급하기,9000,CoreCrystals,320
200,defeat_boss_4_step200,BossDefeat,,붉은 전장의 지배자,보스를 4회 격퇴하기,4,CoreCrystals,500
201,kill_enemies_210_step201,EnemyKill,,잔당 소탕,적 210마리를 처치하기,210,Credits,33000
202,reach_stage_26_step202,StageClear,,진군로 확보,스테이지 26에 도달하기,26,CoreCrystals,360
203,reach_level_48_step203,PlayerLevel,,숙련 지휘관,지휘관 레벨 48에 도달하기,48,CoreCrystals,285
204,kill_enemies_220_step204,EnemyKill,,외곽 정리,적 220마리를 처치하기,220,Credits,250
205,enhance_weapon_20_step205,EnhanceWeapon,,무장 출력 조정,무기를 20회 강화하기,20,CoreCrystals,305
206,collect_credits_9500_step206,CollectCredits,,후방 재원 확보,정제소 크레딧 9500을 수급하기,9500,CoreCrystals,330
207,defeat_boss_4_step207,BossDefeat,,위협 재차단,보스를 4회 격퇴하기,4,CoreCrystals,510
208,draw_skill_15_step208,DrawSkillGacha,,스킬 보급 작전,스킬을 15회 뽑기,15,CoreCrystals,230
209,enhance_unit_6_step209,EnhanceUnit,,정예화 반복,유닛 강화 6단계에 도달하기,6,CoreCrystals,285
210,enhance_drone_10_step210,EnhanceDrone,,드론 전력 유지,드론을 10회 강화하기,10,CoreCrystals,285
211,kill_enemies_240_step211,EnemyKill,,전초지 압박,적 240마리를 처치하기,240,Credits,34000
212,collect_weapons_1_step212,WeaponCollect,,무기 보관 확장,무기를 1회 뽑기,1,Credits,26000
214,use_boss_ticket_4_step214,UseBossTicket,,심층 진입 작전,보스 진입 티켓을 4회 사용하기,4,Credits,19500
215,reach_stage_27_step215,StageClear,,전선 재정비,스테이지 27에 도달하기,27,CoreCrystals,365
216,collect_credits_10000_step216,CollectCredits,,작전 자금 보충,정제소 크레딧 10000을 수급하기,10000,CoreCrystals,340
217,defeat_boss_4_step217,BossDefeat,,강적 연속 격파,보스를 4회 격퇴하기,4,CoreCrystals,520
218,defeat_boss_4_step218,BossDefeat,,요새 보스 격파,보스를 4회 격퇴하기,4,CoreCrystals,255
219,enhance_weapon_20_step219,EnhanceWeapon,,화력 세부 조정,무기를 20회 강화하기,20,CoreCrystals,310
220,reach_level_51_step220,PlayerLevel,,전술 통제관,지휘관 레벨 51에 도달하기,51,CoreCrystals,290
221,kill_enemies_250_step221,EnemyKill,,위협 차단,적 250마리를 처치하기,250,Credits,35000
222,draw_weapon_15_step222,DrawWeaponGacha,,무기 수급 확대,무기를 15회 뽑기,15,CoreCrystals,235
224,enhance_drone_10_step224,EnhanceDrone,,드론 정비 루틴,드론을 10회 강화하기,10,CoreCrystals,290
225,reach_stage_28_step225,StageClear,,거점 연결,스테이지 28에 도달하기,28,CoreCrystals,370
226,collect_credits_10500_step226,CollectCredits,,군수 자금 보강,정제소 크레딧 10500을 수급하기,10500,CoreCrystals,350
227,defeat_boss_5_step227,BossDefeat,,우두머리 추적,보스를 5회 격퇴하기,5,CoreCrystals,530
228,collect_weapons_1_step228,WeaponCollect,,고급 무장 확보,무기를 1회 뽑기,1,Credits,27000
230,use_boss_ticket_4_step230,UseBossTicket,,고난도 작전 진입,보스 진입 티켓을 4회 사용하기,4,Credits,20000
231,kill_enemies_260_step231,EnemyKill,,교전 확대,적 260마리를 처치하기,260,Credits,36000
232,collect_credits_11000_step232,CollectCredits,,전역 자금 운용,정제소 크레딧 11000을 수급하기,11000,CoreCrystals,260
233,enhance_weapon_20_step233,EnhanceWeapon,,전방 무장 보정,무기를 20회 강화하기,20,CoreCrystals,315
234,reach_stage_29_step234,StageClear,,방어선 돌파,스테이지 29에 도달하기,29,CoreCrystals,375
235,reach_level_54_step235,PlayerLevel,,작전 지휘관,지휘관 레벨 54에 도달하기,54,CoreCrystals,295
236,collect_credits_11500_step236,CollectCredits,,보급 재원 확대,정제소 크레딧 11500을 수급하기,11500,CoreCrystals,360
237,defeat_boss_5_step237,BossDefeat,,특수 위협 제거,보스를 5회 격퇴하기,5,CoreCrystals,540
238,draw_skill_15_step238,DrawSkillGacha,,스킬 보급 작전,스킬을 15회 뽑기,15,CoreCrystals,240
240,enhance_drone_15_step240,EnhanceDrone,,드론 작전 적응,드론을 15회 강화하기,15,CoreCrystals,295
241,kill_enemies_280_step241,EnemyKill,,중앙 소탕,적 280마리를 처치하기,280,Credits,37000
242,collect_weapons_1_step242,WeaponCollect,,무장 목록 확장,무기를 1회 뽑기,1,Credits,28000
244,use_boss_ticket_4_step244,UseBossTicket,,전장 심층 진입,보스 진입 티켓을 4회 사용하기,4,Credits,20500
245,reach_stage_30_step245,StageClear,,작전 경계 확대,스테이지 30에 도달하기,30,CoreCrystals,380
246,collect_credits_12000_step246,CollectCredits,,군수 예산 확장,정제소 크레딧 12000을 수급하기,12000,CoreCrystals,370
247,defeat_boss_5_step247,BossDefeat,,보스 저지선,보스를 5회 격퇴하기,5,CoreCrystals,550
248,enhance_weapon_25_step248,EnhanceWeapon,,화기 운용 개선,무기를 25회 강화하기,25,CoreCrystals,265
249,enhance_weapon_25_step249,EnhanceWeapon,,주력 무기 갱신,무기를 25회 강화하기,25,CoreCrystals,320
250,reach_level_58_step250,PlayerLevel,,전장 조율관,지휘관 레벨 58에 도달하기,58,CoreCrystals,300
251,kill_enemies_290_step251,EnemyKill,,침투 저지,적 290마리를 처치하기,290,Credits,38000
252,draw_weapon_15_step252,DrawWeaponGacha,,장비 보급 순환,무기를 15회 뽑기,15,CoreCrystals,245
253,enhance_unit_7_step253,EnhanceUnit,,전투 부대 갱신,유닛 강화 7단계에 도달하기,7,CoreCrystals,300
254,enhance_drone_15_step254,EnhanceDrone,,무인 부대 갱신,드론을 15회 강화하기,15,CoreCrystals,300
255,reach_stage_31_step255,StageClear,,전진로 압박,스테이지 31에 도달하기,31,CoreCrystals,385
256,collect_credits_12500_step256,CollectCredits,,작전비 누적,정제소 크레딧 12500을 수급하기,12500,CoreCrystals,380
257,defeat_boss_5_step257,BossDefeat,,우세 확보,보스를 5회 격퇴하기,5,CoreCrystals,560
258,collect_weapons_1_step258,WeaponCollect,,중장비 목록 확보,무기를 1회 뽑기,1,Credits,29000
260,use_boss_ticket_5_step260,UseBossTicket,,위험 임무 반복,보스 진입 티켓을 5회 사용하기,5,Credits,21000
