id,displayName,icon,attackDamage,attackType,areaRadius,areaDamageMultiplier,maxAreaTargets,maxPierceTargets,maxLevel,damagePercentPerLevel,maxLevelDuplicateCoreCrystalReward,speed,lifetime,collisionRadius,knockbackForce,multiMuzzleFireMode,maxBurstMuzzleCount,muzzleNamePrefix,fireFlashEffect,projectileEffect,hitEffect,effectCleanupDelay,rarity
11,강화전격탄,Assets/External Assets/Image/Bullet_Icon 128x128/Electro Bullet Enhanced.png,37,Area,2,0.7,10,3,10,0.1,1,20,2,0.2,2,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/Hovl Studio/AAA Projectiles Vol 2/Prefabs/Flash 13.prefab,Assets/External Assets/Hovl Studio/AAA Projectiles Vol 2/Prefabs/Projectile 13 lightning.prefab,Assets/External Assets/Hovl Studio/AAA Projectiles Vol 2/Prefabs/Hit 13.prefab,2,Rare
12,DRK 포탄,Assets/External Assets/Image/Bullet_Icon 128x128/DRK Bullet.png,41,SingleTarget,2,0.7,10,3,10,0.1,1,20,2,0.2,2.3,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/Hovl Studio/AAA Projectiles Vol 2/Prefabs/Flash 20.prefab,Assets/External Assets/Hovl Studio/AAA Projectiles Vol 2/Prefabs/Projectile 20 black.prefab,Assets/External Assets/Hovl Studio/AAA Projectiles Vol 2/Prefabs/Projectile 20 black.prefab,2,Rare
13,유산탄,Assets/External Assets/Image/Bullet_Icon 128x128/Shrapnel Shell.png,46,Area,1.5,0.7,10,3,10,0.1,1,20,2,0.2,2.6,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueToonProjectilesVol_1/Prefabs/Muzzle/vfx_ToonMuzzle_Bomb01Red.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueToonProjectilesVol_1/Prefabs/Projectiles/vfx_ToonProjectile_Bomb01Red.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueToonProjectilesVol_1/Prefabs/Hits/vfx_ToonHit_Bomb01Red.prefab,2,Rare
14,R브리치,Assets/External Assets/Image/Bullet_Icon 128x128/RBreach Bullet.png,51,SingleTarget,2,0.7,10,3,10,0.1,1,20,2,0.2,3,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueToonProjectilesVol_1/Prefabs/Muzzle/vfx_ToonMuzzle_Bomb03Red.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueToonProjectilesVol_1/Prefabs/Projectiles/vfx_ToonProjectile_Bomb03Red.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueToonProjectilesVol_1/Prefabs/Hits/vfx_ToonHit_Bomb03Red.prefab,2,Epic
15,HEAT,Assets/External Assets/Image/Bullet_Icon 128x128/HEAT Bullet.png,57,SingleTarget,2,0.7,10,3,10,0.1,1,20,2,0.2,3.3,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueToonProjectilesVol_1/Prefabs/Muzzle/vfx_ToonMuzzle_Plasma01Red.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueToonProjectilesVol_1/Prefabs/Projectiles/vfx_ToonProjectile_Plasma01Red.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueToonProjectilesVol_1/Prefabs/Hits/vfx_ToonHit_Plasma01Red.prefab,2,Epic
16,DRK플라,Assets/External Assets/Image/Bullet_Icon 128x128/DRK Plasma.png,63,SingleTarget,2,0.7,10,3,10,0.1,1,20,2,0.2,3.6,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueToonProjectilesVol_1/Prefabs/Muzzle/vfx_ToonMuzzle_Plasma03Red.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueToonProjectilesVol_1/Prefabs/Projectiles/vfx_ToonProjectile_Plasma03Red.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueToonProjectilesVol_1/Prefabs/Hits/vfx_ToonHit_Plasma03Red.prefab,2,Epic
17,고폭탄,Assets/External Assets/Image/Bullet_Icon 128x128/HE Bullet.png,70,SingleTarget,2,0.7,10,3,10,0.1,1,20,2,0.2,4,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueToonProjectilesVol_1/Prefabs/Muzzle/vfx_ToonMuzzle_MegaBomb01Red.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueToonProjectilesVol_1/Prefabs/Projectiles/vfx_ToonProjectile_MegaBomb01Red.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueToonProjectilesVol_1/Prefabs/Hits/vfx_ToonHit_MegaBomb01Red.prefab,2,Epic
18,F & F,Assets/External Assets/Image/Bullet_Icon 128x128/FnF Bullet.png,78,Area,1.2,0.7,10,3,10,0.1,1,20,2,0.2,4.3,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_2/Prefabs/Muzzle/vfx_Muzzle_Firefrost01_Blue.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_2/Prefabs/Projectiles/vfx_Projectile_Firefrost01_Blue.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_2/Prefabs/Hits/vfx_Hit_Firefrost01_Blue.prefab,2,Epic
19,HEI포탄,Assets/External Assets/Image/Bullet_Icon 128x128/HEI Bullet.png,87,SingleTarget,2,0.7,10,3,10,0.1,1,20,2,0.2,4.6,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_1/Prefabs/Muzzle/vfx_Muzzle_Fireball02Orange.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_1/Prefabs/Projectiles/vfx_Projectile_Fireball02Orange.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_1/Prefabs/Hits/vfx_Hit_Fireball02Orange.prefab,2,Epic
20,네이팜구,Assets/External Assets/Image/Bullet_Icon 128x128/NapalmBall.png,100,Area,2,0.7,10,3,10,0.1,1,20,2,0.2,5,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_2/Prefabs/Muzzle/vfx_Muzzle_Fireball03_Orange.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_2/Prefabs/Projectiles/vfx_Projectile_Fireball03_Orange.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_2/Prefabs/Hits/vfx_Hit_Fireball03_Orange.prefab,2,Legendary
21,NF펀치,Assets/External Assets/Image/Bullet_Icon 128x128/NapalmPunch.png,100,Piercing,2,0.7,10,4,10,0.1,1,20,2,0.2,5,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_2/Prefabs/Muzzle/vfx_Muzzle_Fireball04_Orange.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_2/Prefabs/Projectiles/vfx_Projectile_Fireball04_Orange.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_2/Prefabs/Hits/vfx_Hit_Fireball04_Orange.prefab,2,Legendary
22,전격볼트,Assets/External Assets/Image/Bullet_Icon 128x128/ElectricBolt.png,100,Piercing,2,0.7,10,3,10,0.1,1,20,2,0.2,5,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_2/Prefabs/Muzzle/vfx_Muzzle_ElectricBall01_Blue.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_2/Prefabs/Projectiles/vfx_Projectile_ElectricBall01_Blue.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_2/Prefabs/Hits/vfx_Hit_ElectricBall01_Blue.prefab,2,Legendary
23,에너지포,Assets/External Assets/Image/Bullet_Icon 128x128/EnergySpell.png,100,SingleTarget,2,0.7,10,3,10,0.1,1,20,2,0.2,5,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_1/Prefabs/Muzzle/vfx_Muzzle_Spell01Orange.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_1/Prefabs/Projectiles/vfx_Projectile_Spell01Orange.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_1/Prefabs/Hits/vfx_Hit_Spell01Orange.prefab,2,Legendary
24,고폭파편탄,Assets/External Assets/Image/Bullet_Icon 128x128/SegmentShell.png,100,SingleTarget,2,0.7,10,3,10,0.1,1,20,2,0.2,5,BurstKeepsDps,3,FireMuzzle,,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_1/Prefabs/Projectiles/vfx_Projectile_Comet_Orange.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_1/Prefabs/Hits/vfx_Hit_Comet_Orange.prefab,2,Legendary
25,미사일,Assets/External Assets/TopDownAssets/Common/Sprites/Projectiles/Bombs/10.png,100,SingleTarget,2,0.7,10,3,10,0.1,1,20,2,0.4,5,BurstKeepsDps,3,FireMuzzle,,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_1/Prefabs/Projectiles/vfx_Projectile_ArrowFire.prefab,Assets/External Assets/GabrielAguiarProductions/GabrielAguiarProductions/UniqueProjectilesVol_1/Prefabs/Hits/vfx_Hit_ArrowFire.prefab,2,Legendary
