order,id,bodyText,highlightTargetName,advanceType,eventType,targetAmount,targetId
17,open_player,탱크의 <b>레벨과 내구도(HP)</b>를 보여주는 상태창입니다.,UserStatus_Panel,Tap,None,0,
18,open_player,"내구도가 <b>0이 되면 전차가 파괴</b>되고, <b>3초 뒤 자동으로 재배치</b>됩니다.",UserStatus_Panel,Tap,None,0,
19,open_player,플레이어의 성장을 돕는 <b>가이드 임무</b>입니다. 목표를 달성하면 재화를 보상으로 지급합니다.,GuideMissionBar,Tap,None,0,
20,open_player,공용 화폐 <color=#EED96B><b>크레딧</b></color>입니다. 시설과 탱크를 업그레이드할 때 사용합니다.,Credit,Tap,None,0,
21,open_player,"<b>적 처치, 가이드 임무 달성, 자원 정제소 수급</b> 등 다양한 방법으로 획득할 수 있습니다.",Credit,Tap,None,0,
22,open_player,희귀 자원 <color=#60C6DE><b>코어 크리스탈</b></color>입니다. 상점에서 무기와 스킬을 뽑을 때 사용합니다.,Core Crystal,Tap,None,0,
23,open_player,<b>보스 처치</b>나 <b>도전과제 완료</b>로 획득할 수 있습니다.,Core Crystal,Tap,None,0,
24,open_player,<b>스킬 표시창</b>입니다. 스킬을 보유하면 하단에 아이콘이 나타납니다.,SkillCooldown,Tap,None,0,
25,open_player,<b>쿨타임</b>이 0이 되면 스킬이 자동으로 발동됩니다.,SkillCooldown,Tap,None,0,
26,open_player,현재 <b>스테이지</b>를 보여주는 창입니다.,Stage_Panel,Tap,None,0,
27,open_player,"<b>한 스테이지는 여러 라운드</b>로 이루어지며, 라운드를 모두 마치면 다음 스테이지로 넘어갑니다.",Stage_Panel,Tap,None,0,
28,open_player,스테이지가 오를수록 <b>보상이 커지고 더 강한 적</b>이 등장합니다.,Stage_Panel,Tap,None,0,
29,open_player,<b>보스를 소환</b>하는 버튼입니다. 누르면 티켓을 소모해 보스전이 시작됩니다.,Boss_Btn,Tap,None,0,
30,open_player,<b>인게임 UI</b> 설명을 마치겠습니다. <b>나만의 붉은 탱크를 키워 전장을 돌파하세요!</b>,,Tap,None,0,
31,base_popup_intro,<b>기지</b>에 오신 것을 환영합니다! 이곳에서는 자원을 모으고 시설을 업그레이드할 수 있습니다.,,Tap,None,0,
32,base_popup_intro,먼저 본부부터 둘러보겠습니다. <b>사령부</b>를 눌러주세요.,Command Center,TargetClicked,None,0,
33,base_command_center_intro,<b>기지 전체를 총괄하는 핵심 시설</b>입니다. 사령부 레벨이 오르면 새로운 시설과 콘텐츠가 해금됩니다.,,Tap,None,0,
34,base_command_center_intro,지금은 일부 기지가 잠겨 있습니다. 해금하려면 <b>업그레이드 버튼</b>을 눌러주세요.,Upgrade_Button,TargetClicked,None,0,
35,base_command_center_intro,<b>돌아가기 버튼</b>을 눌러주세요.,ExitButton_Cmd,TargetClicked,None,0,
36,base_refinery_intro,<b>자원 정제소</b>입니다. 시간이 지날수록 크레딧이 쌓입니다.,Credit Refinery,Tap,None,0,
37,base_refinery_intro,가득 차기 전에 수집해 주세요.,Collection_Button,TargetClicked,None,0,
38,base_refinery_intro,이번엔 안을 자세히 살펴보겠습니다. <b>자원 정제소</b>를 눌러주세요.,Credit Refinery,TargetClicked,None,0,
39,base_refinery_intro,<b>크레딧의 원료가 되는 광물을 채굴하고 정제하는 시설</b>입니다. 최대 저장량과 시간당 수집량을 확인할 수 있습니다.,,Tap,None,0,
40,base_refinery_intro,"업그레이드할수록 <b>더 빠르게, 더 많이</b> 크레딧을 모을 수 있습니다.",UpgradeDetail,Tap,None,0,
41,base_refinery_intro,<b>여기서도 수집할 수 있습니다.</b> 가득 차기 전에 <b>수집 버튼</b>을 눌러주세요.,Refinery Storage_Bar_CollectButton,TargetClicked,None,0,
42,base_refinery_intro,자원 정제소 설명을 마치겠습니다. <b>돌아가기 버튼</b>을 눌러주세요.,ExitButton,TargetClicked,None,0,
43,base_TraitPoint_intro,<b>특성 연구소</b>를 눌러주세요.,TraitPointFacility,TargetClicked,None,0,
44,base_TraitPoint_intro,특성 강화에 사용하는 <b>포인트</b>입니다. 플레이어가 레벨을 올릴 때마다 하나씩 얻습니다.,point,Tap,None,0,
45,base_TraitPoint_intro,<b>화력 강화 버튼</b>을 눌러주세요.,Att_btn,TargetClicked,None,0,
46,base_TraitPoint_intro,포인트로 <b>4가지 능력치 중 하나를 영구적으로 소폭 강화</b>할 수 있습니다.,Stat Upgrade,Tap,None,0,
47,base_TraitPoint_intro,탑승한 <b>탱크의 능력치</b>를 보여주는 구간입니다.,Tank Status,Tap,None,0,
48,base_TraitPoint_intro,강화할 때마다 <b>탱크의 능력치가 실시간으로 바뀌는</b> 것을 확인할 수 있습니다.,Tank Status,Tap,None,0,
49,base_TraitPoint_intro,<b>돌아가기 버튼</b>을 눌러주세요.,ExitButton_TrPoint,TargetClicked,None,0,
50,base_Factory_intro,사령부를 업그레이드해 새 시설이 해금됐습니다. <b>조립 공장</b>을 눌러주세요.,Assembly Factory,TargetClicked,None,0,
51,base_Factory_intro,<b>조립 공장</b>에서는 무기와 드론의 피해량을 강화합니다.,,Tap,None,0,
52,base_Factory_intro,강화할 무기를 선택하세요.,Weapon Menu Button,TargetClicked,None,0,
53,base_Factory_intro,무기 <b>'포탄'</b>을 선택하세요.,LoadoutOptionButton(Clone),TargetClicked,None,0,
54,base_Factory_intro,<b>장착하기 버튼</b>까지 눌러야 선택이 완료됩니다.,Equip_Button,TargetClicked,None,0,
55,base_Factory_intro,선택을 마치면 아래 <b>강화 버튼</b>이 활성화됩니다. 눌러주세요.,Weapon Enhance Button,TargetClicked,None,0,
56,base_Factory_intro,"완료됐습니다! 이제 무기나 드론을 강화할 때마다 피해량이 오르고, 그만큼 크레딧 비용도 늘어납니다.",Weapon Enhance Detail,Tap,None,0,
57,base_Factory_intro,<b>최대 강화 레벨</b>을 보여주는 구간입니다. <b>업그레이드할 때마다 5레벨씩</b> 올라갑니다.,AssemblyLevel_txt,Tap,None,0,
58,base_Factory_intro,다음은 스킬을 교체하는 방법입니다. <b>돌아가기 버튼</b>을 눌러주세요.,ExitButton_Factory,TargetClicked,None,0,
59,base_SkillHanger_intro,<b>스킬 격납고</b>를 눌러주세요.,Skill Hanger Facility,TargetClicked,None,0,
60,base_SkillHanger_intro,여기서 보유한 <b>스킬 슬롯을 확인하고 교체</b>할 수 있습니다.,,Tap,None,0,
61,base_SkillHanger_intro,<b>스킬 레벨</b>입니다. 상점에서 같은 스킬을 다시 얻으면 레벨이 오릅니다.,Skill Level,Tap,None,0,
62,base_SkillHanger_intro,"레벨이 오르면 <b>스킬 피해량</b>이 커지고, 일부 스킬은 <b>쿨타임 감소나 공격 횟수 증가</b> 효과를 얻습니다.",Skill Level,Tap,None,0,
63,base_SkillHanger_intro,<b>최대 레벨에 도달한 뒤 중복으로 얻으면</b> <color=#60C6DE><b>코어 크리스탈</b></color>로 지급됩니다.,Skill Level,Tap,None,0,
64,base_SkillHanger_intro,장착한 스킬을 보여주는 슬롯입니다. <b>기지 업그레이드로 슬롯을 최대 4개까지</b> 늘릴 수 있습니다.,SkillButton_Group,Tap,None,0,
65,base_SkillHanger_intro,다음은 <b>관제탑</b>입니다. <b>돌아가기 버튼</b>을 눌러주세요.,ExitButton_SH,TargetClicked,None,0,
66,base_BossTracker_intro,<b>관제탑</b>을 눌러주세요.,Boss Tracker,TargetClicked,None,0,
67,base_BossTracker_intro,여기서는 <b>보스 정보를 살펴보고 난이도를 조정</b>할 수 있습니다.,,Tap,None,0,
68,base_BossTracker_intro,관제탑 레벨은 <b>사령부 레벨</b>과 연동됩니다. 사령부 레벨이 오르면 <b>고난이도가 해금되고 티켓 보유량과 충전량도 늘어납니다.</b>,Title,Tap,None,0,
69,base_BossTracker_intro,"보스 정보창입니다. <b>체력, 권장 전투력, 난이도, 사용 무기, 처치 보상</b>을 확인할 수 있습니다.",Boss Status_Group,Tap,None,0,
70,base_BossTracker_intro,양옆 버튼으로 <b>보스 난이도</b>를 선택할 수 있습니다.,DifficultySelectButton_Group,Tap,None,0,
71,base_BossTracker_intro,"난이도는 <b>일반 → 어려움 → 정예</b> 순이며, 높을수록 보스가 강해지고 보상도 커집니다.",Boss Status_Group,Tap,None,0,
72,base_BossTracker_intro,보유한 <b>티켓 개수</b>를 보여주는 구간입니다.,BossTicket_ForPanel,Tap,None,0,
73,base_BossTracker_intro,"보스전에 입장하려면 티켓이 필요하며, <b>시간이 지나면 자동으로 충전</b>됩니다.",BossTicket_ForPanel,Tap,None,0,
74,base_BossTracker_intro,<b>보스를 처음 처치</b>하면 <b>티켓을 보너스로 지급</b>합니다.,BossTicket_ForPanel,Tap,None,0,
75,base_BossTracker_intro,<b>돌아가기 버튼</b>을 눌러주세요.,CloseButton,TargetClicked,None,0,
76,base_outtro,마지막으로 <b>코어 강화소</b>를 살펴보겠습니다. 이곳에서 <b>탱크를 강화하고 새 드론을 해금</b>할 수 있습니다.,Core Charger,Tap,None,0,
77,base_outtro,아직 <b>사령부 레벨 3</b>에 도달하지 않아 잠겨 있습니다. 해금되면 다시 안내해 드리겠습니다.,LockState_CC,Tap,None,0,
78,base_outtro,기지 설명을 모두 마치겠습니다. 수고하셨습니다!,,Tap,None,0,
79,base_core_charger_intro,사령부 레벨이 3이 되어 <b>코어 강화소</b>가 해금됐습니다! 표시된 시설을 눌러주세요.,Core Charger,TargetClicked,None,0
80,base_core_charger_intro,<b>현재 탱크와 다음 강화 단계</b>를 비교해 볼 수 있는 곳입니다.,,Tap,None,0
81,base_core_charger_intro,<b>현재 탱크와 다음 탱크의 스탯</b>을 확인하는 창입니다.,Tank Route Status,Tap,None,0,
82,base_core_charger_intro,<b>화살표 버튼</b>을 누르면 <b>상세 정보</b>를 볼 수 있습니다.,RouteDetailButton,Tap,None,0,
83,base_core_charger_intro,코어 강화소를 업그레이드하면 <b>다음 유닛 강화 버튼이 활성화</b>됩니다. 강화 시 <color=#60C6DE><b>코어 크리스탈</b></color> 비용이 요구됩니다.,Enhance Unit Button,Tap,None,0
84,base_core_charger_intro,다음은 <b>드론 해금</b>입니다. 표시된 버튼을 눌러주세요.,Button_DroneUnlock,TargetClicked,None,0,
85,base_core_charger_intro,여기서 <b>다음 드론의 해금 조건</b>을 확인할 수 있습니다.,DroneUnlock_Conversion_SubPanel,Tap,None,0
86,base_core_charger_intro,<b>다음에 해금될 드론의 스탯</b>을 보여주는 창입니다. <b>화살표 버튼</b>으로 자세히 볼 수 있습니다.,Drone Status,Tap,None,0,
87,base_core_charger_intro,기지를 업그레이드할수록 <b>더 강력한 드론</b>을 해금할 수 있는 단계가 늘어납니다. 마찬가지로 <color=#60C6DE><b>코어 크리스탈</b></color> 비용이 요구됩니다.,Unlock Drone Button,Tap,None,0
88,base_core_charger_intro,코어 강화소 설명을 마치겠습니다!,,Tap,None,0,,
89,inventory_intro,<b>장비 파츠</b>를 획득했습니다! 인벤토리에서 보유한 파츠를 확인할 수 있습니다.,,Tap,None,0,true
90,inventory_intro,장착할 파츠를 선택하세요.,PartButtons(Clone),TargetClicked,None,0,true
91,inventory_intro,파츠를 고르면 <b>등급과 능력치</b>를 확인할 수 있습니다.,Selected Panel,Tap,None,0,true,
92,inventory_intro,실제 전투에 적용하려면 <b>파츠를 장착하세요.</b>,Equip_Button,TargetClicked,None,0,true
93,inventory_intro,장착이 완료됐습니다. 해제하려면 <b>장착 해제 버튼</b>을 눌러주세요.,Unequip_Button,TargetClicked,InventoryPartEquipped,0,true
94,inventory_intro,이제 파츠가 장착되어 <b>주 옵션과 부가 옵션</b>이 적용됩니다. 등급과 레벨이 높을수록 능력치가 더 강해집니다.,Selected Panel,Tap,None,0,true
95,inventory_intro,목록 <b>아래 버튼</b>으로 <b>다른 파츠로 교체하거나 필요 없는 파츠를 판매</b>할 수 있습니다.,Buttons Group,Tap,None,0,true,
96,inventory_intro,"<color=#FF0000>단, 판매하면 즉시 처분되어 되돌릴 수 없습니다.</color> 신중하게 결정하세요!",Sell_Button,Tap,None,0,true,
97,inventory_intro,장착 중인 파츠는 <b>카테고리 아래 작은 글씨</b>로 표시됩니다.,PartSlots_Group,Tap,None,0,true
98,inventory_intro,<b>엔진 파츠</b>만 따로 보고 싶다면 필터를 사용할 수 있습니다. 표시된 버튼을 눌러주세요.,Engine_Btn,TargetClicked,None,0,true
99,inventory_intro,이제 목록에 <b>엔진 파츠</b>만 표시됩니다.,Scroll View,Tap,None,0,true
100,inventory_intro,원래대로 되돌리려면 아래 <b>필터 초기화 버튼</b>을 눌러주세요.,FillterReset_Button,TargetClicked,None,0,true
101,inventory_intro,마지막으로 <b>자동판매 설정</b>창을 소개하고 마치겠습니다. 표시된 버튼을 눌러주세요.,AutoSell_Button,TargetClicked,None,0,true,
102,inventory_intro,<b>자동판매 설정</b>은 수 많은 불필요한 파츠들을 한꺼번에 처리할 때 사용합니다.,,Tap,None,0,true,
103,inventory_intro,자동판매는 기본적으로 비활성화되어 있습니다. 원하실 때 <b>상단의 ON/OFF 버튼</b>을 눌러 자동으로 활성화할 수 있습니다.,AutoSellActive,Tap,None,0,true,
104,inventory_intro,가운데의 3가지 버튼 중 하나를 눌러 <b>자동판매 등급 기준</b>을 어디까지 정할지 결정할 수 있습니다.,AutoSellTire,Tap,None,0,true,
105,inventory_intro,"다만, 하단에 있는 보라색 버튼은 <b>[전설등급]을 제외한 모두 자동판매</b>합니다.",EpicAutoSell_Button,Tap,None,0,true,
106,inventory_intro,실수를 방지하기 위해 <b>전설장비 5개이상 소지 시 해금</b>되는 추가제한을 걸어놨습니다.,EpicAutoSell_Button,Tap,None,0,true,
107,inventory_intro,이 2가지 기능은 변경할 때마다 <b>자동으로 저장</b>됩니다.,,Tap,None,0,true,
108,inventory_intro,인벤토리 설명을 마치겠습니다!,,Tap,None,0,true,
109,boss_intro,보스전에 입장했습니다! 지금부터는 <b>다른 적 없이 보스와 1:1</b>로 싸웁니다.,,Tap,None,1
110,boss_intro,<b>보스의 이름과 체력</b>은 화면 상단 보스 HUD에서 확인할 수 있습니다.,BossPanel,Tap,None,1
111,boss_intro,보스전에 들어오면 <b>회피기동</b>이 활성화됩니다. 위험한 공격을 피할 때 유용합니다.,DodgeCooldown,Tap,None,1
112,boss_intro,회피기동에는 <b>쿨타임</b>이 있습니다. 한 번 쓰면 쿨타임이 끝날 때까지 사용할 수 없으니 타이밍을 잘 노리세요.,DodgeCooldown,Tap,None,1
113,boss_intro,공격에 맞기 직전에 회피하면 <color=#59FFFF>PERFECT DODGE!!</color> <b>무적 판정</b>을 받습니다.,,Tap,None,1,,
114,boss_intro,<b>화면을 드래그</b>해 회피기동을 사용해 보세요.,DodgeInputArea,GameEvent,BossDodgeUsed,1,,
